,季節,季語,読み仮名,傍題
121,春,雉,きじ,雉子・きぎす・きぎし・雉のほろろ
122,春,雉笛,きじぶえ,
123,春,黄水仙,きずいせん,糸水仙
124,春,北野菜種御供,きたのなたねごく,北野御忌日・天神御忌・梅花祭・梅花御供・道真忌・菜種の神事
125,春,北窓開く,きたまどひらく,
126,春,木流し,きながし,修羅落し・初筏
127,春,木の根明く,きのねあく,根開き
128,春,木の芽和,きのめあえ,山椒和
129,春,木五倍子の花,きぶしのはな,通条花（きぶし）・木五倍子（きぶし）咲く
130,春,球根植う,きゅうこんうう,ダリア植う・百合植う
131,春,旧正月,きゅうしょうがつ,旧正（きゅうしょう）・春節
132,春,競漕,きょうそう,レガッタ
133,春,曲水,きょくすい,曲水の宴・曲水・流觴・盃流し
134,春,虚子忌,きょしき,椿寿忌
135,春,金盞花,きんせんか,常春花・長春花
136,春,金鳳花,きんぽうげ,さんぽうげ・馬の脚形・駒の脚形
137,春,義士祭,ぎしさい,義士祭
138,春,御忌,ぎょき,法然忌・円光忌・御忌詣・御忌参・御忌の寺・御忌の鐘・御忌小袖・弁当始
139,春,茎立,くくだち,くきだち
140,春,枸杞の芽,くこのめ,枸杞芽・枸杞飯
141,春,草の芽,くさのめ,名草の芽
142,春,草餅,くさもち,蓬餅
143,春,草若葉,くさわかば,菊若葉・萩若葉・芭蕉の若葉・罌粟の若葉
144,春,鞍馬の花供養,くらまのはなくよう,鞍馬花会式・花供懺法
145,春,暮の春,くれのはる,暮春・春暮るる・春の果
146,春,クロッカス,くろっかす,
147,春,桑,くわ,桑の芽・芽桑・桑の花
148,春,慈姑掘る,くわいほる,
149,春,桑摘,くわつみ,桑摘女・桑摘唄・桑籠・桑車
150,春,桑解く,くわとく,桑ほどく
151,春,啓蟄,けいちつ,
152,春,華鬘草,けまんそう,華鬘牡丹・けまん・瓔珞牡丹・藤牡丹・鯛釣草
153,春,建国記念日,けんこくきねんび,建国の日・建国祭・紀元節
154,春,憲法記念日,けんぽうきねんび,
155,春,紫雲英,げんげ,蓮華草・げんげん・五形花
156,春,幻氷,げんぴょう,
157,春,光悦忌,こうえつき,
158,春,黄砂,こうさ,霾る・霾・霾ぐもり・霾風・霾天・黄塵・黄砂降る
159,春,紅梅,こうばい,薄紅梅
160,春,氷解,こおりどけ,氷解く・氷消ゆ・解氷・浮氷
161,春,蚕飼,こがい,養蚕・種紙・毛蚕・掃立・蚕の眠り・飼屋・蚕棚・蚕室・蚕籠・捨蚕・蚕飼時
162,春,穀雨,こくう,
163,春,小綬鶏,こじゅけい,
164,春,炬燵塞ぐ,こたつふさぐ,炬燵の名残
165,春,東風,こち,朝東風・夕東風・強東風・雲雀東風・鰆東風・梅東風・桜東風
166,春,こでまりの花,こでまりのはな,小粉団の花・小手毬の花・団子花・すずかけの花
167,春,木の実植う,このみうう,
168,春,木の芽,このめ,芽立ち・芽吹く・芽組む・木の芽時・木の芽雨・木の芽風
169,春,辛夷,こぶし,木筆・山木蘭・幣辛夷・やまあららぎ
170,春,子持鯊,こもちはぜ,
171,春,ゴールデンウィーク,ごーるでんうぃーく,黄金週間
172,春,西行忌,さいぎょうき,円位忌・山家忌
173,春,サイネリア,さいねりあ,シネラリア・蕗菊・富貴菊・蕗桜
174,春,冴返る,さえかえる,凍返る・寒戻る
175,春,囀,さえずり,百千鳥
176,春,佐保姫,さおひめ,
177,春,嵯峨大念仏,さがだいねんぶつ,嵯峨念仏・融通念仏・花念仏・嵯峨大念仏狂言
178,春,嵯峨の柱炬,さがのはしらたいまつ,嵯峨御松明・柱松明
